Metabolite	MIDAS_ID	Pool	KEGG_ID	HMDB_ID	SMILES	KEGG_pathway_association
N-methyl-4-pyridone-3-carboxamide	CNC_108	1	C05843	HMDB04194	CN1C=CC(=O)C(=C1)C(N)=O	Nicotinate and nicotinamide metabolism
Agmatine	A_16	1	C00179	HMDB01432	NCCCCNC(N)=N	Arginine and proline metabolism
"2,5-Dihydroxybenzoic acid"	D_9	4	C00628	HMDB00152	OC(=O)C1=CC(O)=CC=C1O	Tyrosine metabolism
6-Deoxy-L-galactonic acid	CNC_138	4	C01720		C[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O	Fructose and mannose metabolism
Propionylglycine	CNC_105	4		HMDB00783	CCC(=O)NCC(O)=O	
N-Acetyl-L-alanine	CNC_2	4		HMDB00766	C[C@H](NC(C)=O)C(O)=O	
Beta-alanine	A_4	1	C00099	HMDB00056	NCCC(O)=O	Pyrimidine metabolism;beta-Alanine metabolism;Propanoate metabolism;Pantothenate and CoA biosynthesis;Neuroactive ligand-receptor interaction;Protein digestion and absorption
L-Alanine	A_9	1	C00041	HMDB00161	C[C@H](N)C(O)=O	"Alanine, aspartate and glutamate metabolism;Cysteine and methionine metabolism;Taurine and hypotaurine metabolism;Selenocompound metabolism;Aminoacyl-tRNA biosynthesis;Carbon metabolism;Biosynthesis of amino acids;ABC transporters;Sulfur relay system;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer"
Biotin	B_4	1	C00120	HMDB00030	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2	Biotin metabolism;ABC transporters;Vitamin digestion and absorption
Adenine	A_8	2	C00147	HMDB00034	NC1=NC=NC2=C1NC=N2	Purine metabolism
D-Glucosamine 6-phosphate	CNC_9	4	C00352	HMDB01254	N[C@H]1[C@@H](O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O	"Alanine, aspartate and glutamate metabolism;Amino sugar and nucleotide sugar metabolism;Insulin resistance"
3-Hydroxyanthranilic acid	H_15	4	C00632	HMDB01476	NC1=C(O)C=CC=C1C(O)=O	Tryptophan metabolism
"D-Erythrono-1,4-lactone"	CNC_126	2		HMDB00349	O[C@@H]1COC(=O)[C@@H]1O	
Benzoate	B_2	3	C00180	HMDB01870	OC(=O)C1=CC=CC=C1	Phenylalanine metabolism
L-Fucose	F_3	2	C01019	HMDB00174	C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O	Fructose and mannose metabolism;Amino sugar and nucleotide sugar metabolism;C-type lectin receptor signaling pathway
Thiamine pyrophosphate	20C_2	2	C00068	HMDB01372	CC1=C(CCO[P@](O)(=O)OP(O)(O)=O)SC=[N+]1CC1=CN=C(C)N=C1N	"Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Valine, leucine and isoleucine degradation;Pyruvate metabolism;Propanoate metabolism;Thiamine metabolism;Vitamin digestion and absorption"
D-Glucosamine	G_11	1	C00329	HMDB01514	N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	Amino sugar and nucleotide sugar metabolism
DL-Mandelic acid	CNC_3	4	C01984	HMDB00703	O[C@H](C(O)=O)C1=CC=CC=C1	
L-Tryptophan	T_6	4	C00078	HMDB00929	N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O	"Glycine, serine and threonine metabolism;Tryptophan metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Aminoacyl-tRNA biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Serotonergic synapse;Protein digestion and absorption;Mineral absorption;African trypanosomiasis;Central carbon metabolism in cancer"
"3,4-Dihydroxyphenylacetic acid"	D_10	4	C01161	HMDB01336	OC(=O)CC1=CC=C(O)C(O)=C1	Tyrosine metabolism;Dopaminergic synapse;Cocaine addiction;Amphetamine addiction;Alcoholism
L-Arabinose	A_1	1	C00259	HMDB00646	O[C@H]1COC(O)[C@H](O)[C@H]1O	Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Amino sugar and nucleotide sugar metabolism;ABC transporters
L-Ribulose	CNC_159	1	C00508	HMDB03371	OCC1(O)OC[C@@H](O)[C@@H]1O	Pentose and glucuronate interconversions
D-Xylose	X_1	1	C00181	HMDB00098	O[C@@H]1COC(O)[C@H](O)[C@H]1O	Pentose and glucuronate interconversions;Amino sugar and nucleotide sugar metabolism;ABC transporters
Phosphatidylserine	AVL_6	4	C02737	HMDB00614	CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCC	"Glycine, serine and threonine metabolism;Glycerophospholipid metabolism;Leishmaniasis;Amoebiasis;Systemic lupus erythematosus"
Creatine	C_8	1	C00300	HMDB00064	CN(CC(O)=O)C(N)=N	"Glycine, serine and threonine metabolism;Arginine and proline metabolism"
Histamine	H_14	1	C00388	HMDB00870	NCCC1=CNC=N1	Histidine metabolism;Neuroactive ligand-receptor interaction;Fc epsilon RI signaling pathway;Synaptic vesicle cycle;Inflammatory mediator regulation of TRP channels;Gastric acid secretion;Protein digestion and absorption;Asthma
Ascorbate	A_3	4	C00072	HMDB00044	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO	Ascorbate and aldarate metabolism;Glutathione metabolism;HIF-1 signaling pathway;Vitamin digestion and absorption
Norepinephrine	CNC_95	1	C00547	HMDB00216	NC[C@H](O)C1=CC(O)=C(O)C=C1	Tyrosine metabolism;cAMP signaling pathway;Neuroactive ligand-receptor interaction;Adrenergic signaling in cardiomyocytes;Vascular smooth muscle contraction;Gap junction;Thermogenesis;Synaptic vesicle cycle;Taste transduction;Regulation of lipolysis in adipocytes;Renin secretion;Salivary secretion
Pyridoxine	P_11	1	C00314	HMDB00239	CC1=NC=C(CO)C(CO)=C1O	Vitamin B6 metabolism
Xanthosine 5-monophosphate	CNC_143	3	C00655	HMDB01554	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O	Purine metabolism
D-Lactaldehyde	20C_14	3	C00937	HMDB06458	C[C@@H](O)C=O	Pyruvate metabolism
Succinyl coenzyme A	20C_52	3	C00091	HMDB01022	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(O)=O	"Citrate cycle (TCA cycle);Valine, leucine and isoleucine degradation;Phenylalanine metabolism;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Butanoate metabolism;Carbon metabolism"
Epinephrine	4C_21	1	C00788	HMDB00068	CNC[C@H](O)C1=CC=C(O)C(O)=C1	Tyrosine metabolism;cAMP signaling pathway;Neuroactive ligand-receptor interaction;Adrenergic signaling in cardiomyocytes;Regulation of lipolysis in adipocytes;Renin secretion
L-Cysteine	C_3	3	C00097	HMDB00574	N[C@@H](CS)C(O)=O	"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Taurine and hypotaurine metabolism;Glutathione metabolism;Thiamine metabolism;Pantothenate and CoA biosynthesis;Sulfur metabolism;Aminoacyl-tRNA biosynthesis;Carbon metabolism;Biosynthesis of amino acids;Sulfur relay system;Ferroptosis;Protein digestion and absorption;Central carbon metabolism in cancer"
trans-4-Hydroxy-L-proline	H_4	1	C01157	HMDB00725	O[C@H]1CN[C@@H](C1)C(O)=O	Arginine and proline metabolism;ABC transporters
cis-4-Hydroxy-D-proline	H_5	1	C03440	HMDB60460	O[C@H]1CN[C@H](C1)C(O)=O	Arginine and proline metabolism
D-Gluconic acid	G_5	3	C00257	HMDB00625	OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O	Pentose phosphate pathway;Carbon metabolism
D-Ribose	4C_4	2	C00121	HMDB00283	OC[C@H]1OC(O)[C@H](O)[C@@H]1O	Pentose phosphate pathway;ABC transporters
D-Xylulose	CNC_47	2	C00310	HMDB01644	OC[C@@H](O)[C@H](O)C(=O)CO	Pentose and glucuronate interconversions
2-Aminoadipic acid	A_14	1	C00956	HMDB00510	NC(CCCC(O)=O)C(O)=O	Lysine degradation;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids
Cytidine-5-monophospho-N-acetylneuraminic acid	20C_43	2	C00128	HMDB01176	[H][C@]1(O[C@](C[C@H](O)[C@H]1NC(C)=O)(OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O)C(O)=O)[C@H](O)[C@H](O)CO	Amino sugar and nucleotide sugar metabolism
O-Acetyl-L-carnitine	CNC_45	1	C02571	HMDB00201	CC(=O)OC(CC([O-])=O)C[N+](C)(C)C	Insulin resistance
Dodecanedioic acid	CNC_133	4	C02678	HMDB00623	OC(=O)CCCCCCCCCCC(O)=O	
Deoxyadenosine diphosphate	20C_74	2	 C00206	HMDB01508	NC1=NC=NC2=C1N=CN2C1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1	Purine metabolism
Riboflavin	R_2	1	C00255	HMDB00244	CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1	Riboflavin metabolism;ABC transporters;Vitamin digestion and absorption
N-a-Acetyl-L-ornithine	20C_77	2	 C00437	HMDB03357	CC(=O)N[C@@H](CCCN)C(O)=O	Arginine biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids
Pantothenic acid	P_8	1	C00864	HMDB00210	CC(C)(CO)C(O)C(=O)NCCC(O)=O	beta-Alanine metabolism;Pantothenate and CoA biosynthesis;Vitamin digestion and absorption
D-Ornithine	O_3	2	C00515	HMDB03374	NCCC[C@@H](N)C(O)=O	D-Arginine and D-ornithine metabolism
Cytidine 5-triphosphate	CNC_68	4	C00063	HMDB00082	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	Pyrimidine metabolism;Mannose type O-glycan biosynthesis
Phenylpyruvate	4C_24	3	C00166	HMDB00205	OC(=O)C(=O)CC1=CC=CC=C1	"Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids"
Guanine	G_18	2	C00242	HMDB00132	NC1=NC(=O)C2=C(N1)N=CN2	Purine metabolism
Metanephrine	4C_44	2	C05588	HMDB04063	CNCC(O)C1=CC(OC)=C(O)C=C1	Tyrosine metabolism
"3,3-Dimethylacrylic acid"	CNC_114	4		HMDB00509	CC(C)=CC(O)=O	
"D-Glucurono-6,3-lactone"	G_10	3	C02670	HMDB06355	O[C@@H]1O[C@@H]2[C@@H](O)C(=O)O[C@@H]2[C@H]1O	Ascorbate and aldarate metabolism
Cyclic GMP	CNC_51	3	C00942	HMDB01314	NC1=NC2=C(N=CN2[C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)C(=O)N1	Purine metabolism;cGMP-PKG signaling pathway;Vascular smooth muscle contraction;Gap junction;Platelet activation;Circadian entrainment;Thermogenesis;Long-term depression;Olfactory transduction;Phototransduction;Oxytocin signaling pathway;Regulation of lipolysis in adipocytes;Renin secretion;Aldosterone synthesis and secretion;Salivary secretion;Bile secretion
Betaine aldehyde	4C_42_R	1	C00576	HMDB01252	C[N+](C)(C)CC=O	"Glycine, serine and threonine metabolism"
L-Cystathionine	CNC_190	3	C02291	HMDB00099	N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O	"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Biosynthesis of amino acids"
D-Glucuronic acid	G_7	3	C00191	HMDB00127	O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O	Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Amino sugar and nucleotide sugar metabolism;Inositol phosphate metabolism
2-Deoxyguanosine	D_14	2	C00330	HMDB00085	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1	Purine metabolism;ABC transporters
Cytidine monophosphate	4C_16	3	C00055	HMDB00095	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	Pyrimidine metabolism
1-Methylhistamine	CNC_32	1	C05127	HMDB00898	CN1C=NC(CCN)=C1	Histidine metabolism
Xanthine	X_3	2	C00385	HMDB00292	O=C1NC2=C(NC=N2)C(=O)N1	Purine metabolism;Caffeine metabolism
2-Deoxycytidine	20C_25	1	C00881	HMDB00014	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	Pyrimidine metabolism;ABC transporters
"2,3-Dihydroxypropanoic acid"	CNC_113	4	C00258	HMDB00139	OC[C@@H](O)C(O)=O	"Pentose phosphate pathway;Glycine, serine and threonine metabolism;Glycerolipid metabolism;Glyoxylate and dicarboxylate metabolism;Carbon metabolism"
D-Lactose	L_1	2	C00243	HMDB00186	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O	Galactose metabolism;ABC transporters;Carbohydrate digestion and absorption
Adenosine monophosphate	A_7	3	C00020	HMDB00045	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	"Purine metabolism;Antifolate resistance;cGMP-PKG signaling pathway;cAMP signaling pathway;FoxO signaling pathway;mTOR signaling pathway;PI3K-Akt signaling pathway;AMPK signaling pathway;Longevity regulating pathway;Olfactory transduction;Taste transduction;Regulation of lipolysis in adipocytes;Renin secretion;Aldosterone synthesis and secretion;Cortisol synthesis and secretion;Parathyroid hormone synthesis, secretion and action;Cushing syndrome;Parkinson disease;Morphine addiction"
D-Fructose	F_2	1	C00095	HMDB00660	OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O	Fructose and mannose metabolism;Galactose metabolism;Starch and sucrose metabolism;ABC transporters;Taste transduction;Insulin resistance;Carbohydrate digestion and absorption
D-Galactose	G_8	1	C00124	HMDB00143	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O	Galactose metabolism;Carbohydrate digestion and absorption;Mineral absorption
Myoinositol	I_2	1	C00137	HMDB00211	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O	Galactose metabolism;Ascorbate and aldarate metabolism;Inositol phosphate metabolism;ABC transporters;Phosphatidylinositol signaling system
Butyryl coenzyme A	20C_41	2	C00136	HMDB01088	CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	Fatty acid elongation;Fatty acid degradation;Lysine degradation;Glyoxylate and dicarboxylate metabolism;Butanoate metabolism;Carbon metabolism;Fatty acid metabolism
4-Phenylbutanoic acid	CNC_147	4		HMDB00543	OC(=O)CCCC1=CC=CC=C1	
Guanosine	G_19	3	C00387	HMDB00133	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1	Purine metabolism;ABC transporters
UDP-GalNAc	20C_47	2	C00203	HMDB00304	CC(O)=NC1C(OP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2O)N2C=CC(O)=NC2=O)OC(CO)C(O)C1O	Amino sugar and nucleotide sugar metabolism
UDP-GlcNAc	CNC_61	2	C00043	HMDB00290	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O	"Amino sugar and nucleotide sugar metabolism;Neomycin, kanamycin and gentamicin biosynthesis;Insulin resistance"
Flavin Mononucleotide	20C_71	2	C00061	HMDB01520	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2	Oxidative phosphorylation;Riboflavin metabolism;Vitamin digestion and absorption
N-Acetylputrescine	4C_35	2	C02714	HMDB02064	CC(=O)NCCCCN	Arginine and proline metabolism
Deoxyuridine triphosphate	20C_81	4	 C00460	HMDB01191	O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O	Pyrimidine metabolism
N-Acetylmuramic acid	CNC_54	3	C02713	HMDB60493	C[C@@H](O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1N=C(C)O)C(O)=O	Amino sugar and nucleotide sugar metabolism
Pyridoxamine-5-phosphate	CNC_144	3	C00647	HMDB01555	CC1=NC=C(COP(O)(O)=O)C(CN)=C1O	Vitamin B6 metabolism;Vitamin digestion and absorption
N-Acetyl-D-glucosamine	20C_11	2	C00140	HMDB00215	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	Amino sugar and nucleotide sugar metabolism;ABC transporters
N-Acetyl-D-galactosamine	4C_6	2	C01132	HMDB00212	CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O	Galactose metabolism
3-methyl-2-oxobutyrate	M_9	3	C00141	HMDB00019	CC(C)C(=O)C(O)=O	"Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;Pantothenate and CoA biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids"
L-Phenylalanine	P_6	3	C00079	HMDB00159	N[C@@H](CC1=CC=CC=C1)C(O)=O	"Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Aminoacyl-tRNA biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer"
Guanosine diphosphate mannose	CNC_83	2	C00096	HMDB01163	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C(=O)N1	Fructose and mannose metabolism;Ascorbate and aldarate metabolism;N-Glycan biosynthesis;Amino sugar and nucleotide sugar metabolism
D-Sedoheptulose 7-phosphate	20C_63	4	C05382	HMDB01068	OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O	Pentose phosphate pathway;Carbon metabolism;Biosynthesis of amino acids
Cysteamine	4C_39	1	C01678	HMDB02991	NCCS	Taurine and hypotaurine metabolism
L-Tyrosine	T_8	2	C00082	HMDB00158	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	"Ubiquinone and other terpenoid-quinone biosynthesis;Tyrosine metabolism;Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Thiamine metabolism;Aminoacyl-tRNA biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Dopaminergic synapse;Melanogenesis;Prolactin signaling pathway;Protein digestion and absorption;Parkinson disease;Cocaine addiction;Amphetamine addiction;Alcoholism;Central carbon metabolism in cancer"
1-Methyl-L-histidine	CNC_127	2	C01152	HMDB00001	CN1C=NC(C[C@H](N)C(O)=O)=C1	Histidine metabolism
Inosine 5-triphosphate	CNC_91	4	C00081	HMDB00189	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O	Purine metabolism
2-Ethylhydracrylic acid	CNC_104	4		HMDB00396	CCC(CO)C(O)=O	
Betaine	B_1	1	C00719	HMDB00043	C[N+](C)(C)CC([O-])=O	"Glycine, serine and threonine metabolism;ABC transporters"
Homovanillic acid	H_10	3	C05582	HMDB00118	COC1=CC(CC(O)=O)=CC=C1O	Tyrosine metabolism;Dopaminergic synapse
L-Methionine	M_6	4	C00073	HMDB00696	CSCC[C@H](N)C(O)=O	Cysteine and methionine metabolism;Aminoacyl-tRNA biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Antifolate resistance;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer
Isomaltose	CNC_41	1	C00252	HMDB02923	OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	Starch and sucrose metabolism
Sucrose	S_3	1	C00089	HMDB00258	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	Galactose metabolism;Starch and sucrose metabolism;ABC transporters;Taste transduction;Carbohydrate digestion and absorption
Phosphocholine	20C_21	1	C00588	HMDB01565	C[N+](C)(C)CCOP(O)(O)=O	Glycerophospholipid metabolism;Choline metabolism in cancer
L-Aspartic acid	A_10	3	C00049	HMDB00191	N[C@@H](CC(O)=O)C(O)=O	"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Histidine metabolism;beta-Alanine metabolism;Nicotinate and nicotinamide metabolism;Pantothenate and CoA biosynthesis;Aminoacyl-tRNA biosynthesis;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;Neuroactive ligand-receptor interaction;Protein digestion and absorption;Central carbon metabolism in cancer"
D-Aspartic acid	A_12	3	C00402	HMDB06483	N[C@H](CC(O)=O)C(O)=O	"Alanine, aspartate and glutamate metabolism"
Flavin adenine dinucleotide	CNC_11	2	C00016	HMDB01248	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2	Riboflavin metabolism;Vitamin digestion and absorption
Trans-beta-Hydromuconic acid	CNC_146	1		HMDB00393	OC(=O)C\C=C\CC(O)=O	
Hypotaurine	H_13	1	C00519	HMDB00965	NCCS(O)=O	Taurine and hypotaurine metabolism
L-Cystine	C_9	2	C00491	HMDB00192	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	Cysteine and methionine metabolism;ABC transporters;Ferroptosis;Protein digestion and absorption
Acetylcholine	A_6	1	C01996	HMDB00895	CC(=O)OCC[N+](C)(C)C	Glycerophospholipid metabolism;cAMP signaling pathway;Neuroactive ligand-receptor interaction;Synaptic vesicle cycle;Cholinergic synapse;Taste transduction;Regulation of actin cytoskeleton;Insulin secretion;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Nicotine addiction
N-Acetyl-D-glucosamine 6-phosphate	CNC_71	3	C00357	HMDB01062	CC(=O)N[C@H]1C(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O	Amino sugar and nucleotide sugar metabolism
Octanoic acid	Acid_4	4	C06423	HMDB00482	CCCCCCCC(O)=O	Fatty acid biosynthesis;Lipoic acid metabolism
Adenosine	4C_14	1	C00212	HMDB00050	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	Purine metabolism;ABC transporters;cGMP-PKG signaling pathway;cAMP signaling pathway;Sphingolipid signaling pathway;Neuroactive ligand-receptor interaction;Vascular smooth muscle contraction;Regulation of lipolysis in adipocytes;Renin secretion;Parkinson disease;Morphine addiction;Alcoholism
2-Deoxyadenosine	4C_15	1	C00559	HMDB00101	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1	Purine metabolism;ABC transporters
DL-2-Amino-3-phosphonopropionic acid	CNC_172	3	C05672	HMDB00370	NC(CP(O)(O)=O)C(O)=O	Phosphonate and phosphinate metabolism
Cadaverine	C_12	1	C01672	HMDB02322	NCCCCCN	Lysine degradation;Glutathione metabolism;Protein digestion and absorption
Adenosine triphosphate	20C_17	2	C00002	HMDB00538	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	Oxidative phosphorylation;Purine metabolism;Calcium signaling pathway;HIF-1 signaling pathway;Neuroactive ligand-receptor interaction;Lysosome;Necroptosis;Platelet activation;NOD-like receptor signaling pathway;Thermogenesis;Synaptic vesicle cycle;Taste transduction;Inflammatory mediator regulation of TRP channels;Insulin secretion;Prolactin signaling pathway;Renin secretion;Type II diabetes mellitus;Parkinson disease;Shigellosis;Pertussis;Hypertrophic cardiomyopathy (HCM)
D-Glyceraldehyde 3-phosphate	20C_4	3	C00118	HMDB01112	OC(COP(O)(O)=O)C=O	Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Fructose and mannose metabolism;Galactose metabolism;Inositol phosphate metabolism;Thiamine metabolism;Vitamin B6 metabolism;Terpenoid backbone biosynthesis;Carbon metabolism;Biosynthesis of amino acids
Dihydroxyacetone phosphate	20C_60	3	 C00111	HMDB01473	OCC(=O)COP(O)(O)=O	Glycolysis / Gluconeogenesis;Pentose and glucuronate interconversions;Fructose and mannose metabolism;Galactose metabolism;Glycerolipid metabolism;Inositol phosphate metabolism;Glycerophospholipid metabolism;Propanoate metabolism;Nicotinate and nicotinamide metabolism;Carbon metabolism;Biosynthesis of amino acids
Gamma-Aminobutyric acid	A_5	1	C00334	HMDB00112	NCCCC(O)=O	"Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;beta-Alanine metabolism;Butanoate metabolism;Nicotinate and nicotinamide metabolism;cAMP signaling pathway;Neuroactive ligand-receptor interaction;Synaptic vesicle cycle;Retrograde endocannabinoid signaling;GABAergic synapse;Taste transduction;Estrogen signaling pathway;GnRH secretion;Morphine addiction;Nicotine addiction"
Deoxyguanosine triphosphate	CNC_85	2	C00286	HMDB01440	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)N1	Purine metabolism
Dimethylglycine	D_7	1	C01026	HMDB00092	CN(C)CC(O)=O	"Glycine, serine and threonine metabolism"
